name,id
CA5A,421
CA6,422
CA8,423
CA9,424
CA11,425
CA12,426
CACNA1A,427
CACNA1B,428
CACNA1C,429
CACNA1D,430
CACNA1E,431
CACNA1S,432
DDR1,433
CACNA2D1,434
CACNB2,435
CACNB3,436
CACNB4,437
CACNG1,438
SLC25A20,439
CAD,440
CALB2,441
CALCR,442
CALD1,443
CALM1,444
CALM2,445
CALM3,446
CALML3,447
CALR,448
CALU,449
CAMK4,450
CAMK2A,451
CAMK2B,452
CAMK2D,453
CAMK2G,454
CAMLG,455
CANX,456
CAPG,457
CAPN1,458
CAPN2,459
CAPN3,460
CAPNS1,461
CAPN6,462
CAPS,463
CAPZA1,464
CAPZA2,465
CAST,466
CAPZB,467
CARS,468
CASP1,469
CASP2,470
CASP3,471
CASP4,472
CASP5,473
CASP6,474
CASP7,475
CASP8,476
CASP9,477
CASP10,478
CASQ1,479
CASR,480
CAT,481
CAV1,482
CAV2,483
RUNX2,484
RUNX1,485
RUNX1T1,486
CBFA2T3,487
RUNX3,488
CBFB,489
CBL,490
CBLB,491
SERPINH1,492
CBR1,493
CBS,494
KYAT1,495
CCKBR,496
KRIT1,497
CCNA2,498
CCNB1,499
CCNC,500
CCND2,501
CCND3,502
CCNE1,503
CCNF,504
CCNG1,505
CCNG2,506
CCNH,507
CCNT1,508
CCNT2,509
CCT6A,510
CD1C,511
CD1D,512
CD3D,513
CD3E,514
CD3G,515
CD247,516
CD4,517
CD5L,518
CD8A,519
CD9,520
CD14,521
CD19,522
MS4A1,523
MS4A3,524
CD22,525
CD27,526
CD28,527
CD80,528
CD86,529
TNFRSF8,530
TNFSF8,531
CD33,532
SIGLEC6,533
CD34,534
CD36,535
SCARB1,536
SCARB2,537
CD37,538
CD38,539
ENTPD1,540
ENTPD6,541
ENTPD3,542
ENTPD5,543
CD40,544
CD40LG,545
CD44,546
CD47,547
CD59,548
CD68,549
CD69,550
CD70,551
CD79A,552
CD81,553
ADGRE5,554
CD151,555
CDA,556
CDK1,557
LRBA,558
CDC5L,559
SEPT7,560
CDC6,561
CDC20,562
CDC25A,563
CDC25B,564
CDC25C,565
CDC27,566
CDC34,567
CDC42,568
CDH1,569
CDH2,570
CDH3,571
CDH4,572
CDH5,573
CDH6,574
CDH7,575
CDH8,576
CDH9,577
CDH11,578
CDH12,579
CDH13,580
CDH18,581
CDK2,582
CDK3,583
CDK4,584
CDK5,585
CDK6,586
CDK7,587
CDK8,588
CDK9,589
CDKN1A,590
CDKN1B,591
CDKN1C,592
CDKN2A,593
CDKN2B,594
CDKN2C,595
CDKN2D,596
CDKN3,597
CDR1,598
CDS1,599
CDX1,600
CDX2,601
CDX4,602
CEACAM5,603
CEBPA,604
CEBPB,605
CEBPD,606
CEL,607
CENPA,608
CENPB,609
CENPE,610
CENPF,611
CES1,612
CETN2,613
CFL1,614
CFL2,615
CTSC,616
CFTR,617
CGA,618
CEACAM3,619
CEACAM8,620
RCBTB2,621
